pt,en
que,what
não,no
o,O
de,in
a,The
é,It is
você,you
e,and
eu,I
um,a
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,that
em,in
do,of
me,me
mas,but
como,as
bem,well
da,gives
no,at the
os,you
ela,Is it over there
na,at
sim,yea
aqui,here
mais,most
tem,has
meu,mine
seu,your
muito,much
foi,he was
as,at
vai,go
sua,your
estou,I am
vamos,we will
tudo,all
minha,my
só,only
então,then
pode,he can
agora,now
vou,I'm going
ser,to be
quando,When
sei,know
eles,they
nós,we
tenho,have
te,you
estava,was
certo,right
quer,would you like
sabe,You know
já,already
era,was
nos,us
quem,who
ou,or
ao,to
nada,anything
disse,said
há,there is
lá,there
onde,Where
quero,I want
bom,Good
ter,to have
sou,I am
são,are
dizer,to say
posso,I can
acho,think
sobre,about
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,up until
tempo,time
assim,so
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,That
à,The
ver,to see
também,also
pra,for
ainda,still
tão,so
dos,From
cara,face
favor,favor
ir,go
melhor,best
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,dad
estamos,we are
esta,it is
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,Mr
este,This one
isto,this
sempre,ever
anos,years old
vez,turn
verdade,truth
seus,their
dele,his
ficar,stay
parece,looks
oh,Oh
claro,clear
depois,later
tinha,had
falar,speak
coisas,stuff
antes,before
pessoas,people
pouco,little
pelo,fur
preciso,need
apenas,only
homem,men
deve,he must
nem,nor
boa,Good
dois,two
fazendo,making
todo,all
lugar,place
faz,does
acha,he thinks
fez,did
aí,there
fora,outside
estar,be
qual,which
disso,from that
trabalho,job
precisa,need
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,know
alguma,some
dar,to give
podemos,we can
grande,great
sinto,I feel
seja,be
nossa,Wow
poderia,could
dinheiro,money
suas,your
será,it will be
nome,Name
quanto,how much
qualquer,any
pela,for the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,Hi
meus,my
desculpe,excuse me
filho,son
certeza,certainty
vão,they go
